Mercury_SC_417677,A polished metal ball looks very shiny and bright on a sunny day. What makes the ball look shiny?,The ball makes light.,A polished metal ball looks very shiny and bright on a sunny day. The ball makes light makes the ball look shiny.,polished metal ball --- looks --> very shiny || polished metal ball --- looks on --> day || polished metal ball --- looks --> shiny || polished metal ball --- looks on --> sunny day || metal ball --- looks on --> sunny day || metal ball --- looks --> very shiny || metal ball --- looks on --> day || metal ball --- looks --> shiny || light --- makes --> ball look shiny ||,The ball reflects light.,A polished metal ball looks very shiny and bright on a sunny day. The ball reflects light makes the ball look shiny.,polished metal ball --- looks --> very shiny || polished metal ball --- looks on --> day || polished metal ball --- looks --> shiny || polished metal ball --- looks on --> sunny day || metal ball --- looks on --> sunny day || metal ball --- looks --> very shiny || metal ball --- looks on --> day || metal ball --- looks --> shiny || light --- makes --> ball look shiny ||,The ball absorbs light and then releases it.,A polished metal ball looks very shiny and bright on a sunny day. The ball absorbs light and then releases it makes the ball look shiny.,polished metal ball --- looks --> very shiny || polished metal ball --- looks on --> day || polished metal ball --- looks --> shiny || polished metal ball --- looks on --> sunny day || metal ball --- looks on --> sunny day || metal ball --- looks --> very shiny || metal ball --- looks on --> day || metal ball --- looks --> shiny || ball --- absorbs --> light || it --- makes --> ball look shiny ||,The ball absorbs light and keeps it inside.,A polished metal ball looks very shiny and bright on a sunny day. The ball absorbs light and keeps it inside makes the ball look shiny.,polished metal ball --- looks --> very shiny || polished metal ball --- looks on --> day || polished metal ball --- looks --> shiny || polished metal ball --- looks on --> sunny day || metal ball --- looks on --> sunny day || metal ball --- looks --> very shiny || metal ball --- looks on --> day || metal ball --- looks --> shiny || ball --- keeps --> it || ball --- absorbs --> light ||,NA,NA,NA
Mercury_7221655,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. Which of the following best explains why people choose to use this technology?",The technology is a scientific advancement.,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. The technology is a scientific advancement best explains why people choose to use this technology.",cars --- being --> driven || cars --- being --> when driven || electric cars --- being --> driven || electric cars --- being --> when driven || technology --- is --> scientific advancement || technology --- is --> advancement explains || technology --- is --> scientific advancement best explains || technology --- is --> scientific || technology --- is --> advancement || technology --- is --> advancement best explains || technology --- is --> scientific advancement explains || people --- use --> technology ||,Electric cars store energy in batteries.,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. Electric cars store energy in batteries best explains why people choose to use this technology.",cars --- being --> driven || cars --- being --> when driven || cars --- store energy in --> batteries || cars --- store --> energy || electric cars --- being --> driven || electric cars --- being --> when driven || electric cars --- store energy in --> batteries || electric cars --- store --> energy || people --- use --> technology ||,The technology is environmentally friendly.,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. The technology is environmentally friendly best explains why people choose to use this technology.",cars --- being --> driven || cars --- being --> when driven || electric cars --- being --> driven || electric cars --- being --> when driven || technology --- is --> environmentally friendly || technology --- is --> friendly || people --- use --> technology ||,Everyone is getting an electric car.,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. Everyone is getting an electric car best explains why people choose to use this technology.",cars --- being --> driven || cars --- being --> when driven || electric cars --- being --> driven || electric cars --- being --> when driven || people --- use --> technology ||,NA,NA,NA
MCAS_2006_9_12,Why does a plastic rod have a negative charge after being rubbed with a piece of fur?,The fur gives up protons to the rod.,The fur gives up protons to the rod does a plastic rod have a negative charge after being rubbed with a piece of fur.,rod --- being rubbed with --> piece of fur || rod --- does have charge --> rubbed || rod --- being --> rubbed || rod --- does have charge --> rubbed with piece of fur || rod --- being rubbed with --> piece || rod --- does have --> negative charge || rod --- does have charge --> rubbed with piece || rod --- does have --> charge || fur --- gives up protons to --> rod || fur --- gives up --> protons || plastic rod --- being rubbed with --> piece of fur || plastic rod --- does have --> charge || plastic rod --- does have charge --> rubbed with piece || plastic rod --- does have charge --> rubbed with piece of fur || plastic rod --- does have --> negative charge || plastic rod --- being rubbed with --> piece || plastic rod --- does have charge --> rubbed || plastic rod --- being --> rubbed ||,The rod gives up electrons to the air.,The rod gives up electrons to the air does a plastic rod have a negative charge after being rubbed with a piece of fur.,rod --- being rubbed with --> piece of fur || rod --- does have charge --> rubbed || rod --- being --> rubbed || rod --- does have charge --> rubbed with piece of fur || rod --- being rubbed with --> piece || rod --- does have --> negative charge || rod --- gives up --> electrons || rod --- gives up electrons to --> air || rod --- does have charge --> rubbed with piece || rod --- does have --> charge || plastic rod --- being rubbed with --> piece of fur || plastic rod --- does have --> charge || plastic rod --- does have charge --> rubbed with piece || plastic rod --- does have charge --> rubbed with piece of fur || plastic rod --- does have --> negative charge || plastic rod --- being rubbed with --> piece || plastic rod --- does have charge --> rubbed || plastic rod --- being --> rubbed ||,The fur gains protons from the rod.,The fur gains protons from the rod does a plastic rod have a negative charge after being rubbed with a piece of fur.,rod --- being rubbed with --> piece of fur || rod --- being rubbed with --> piece || rod --- does have charge --> rubbed with piece || rod --- does have --> negative charge || rod --- does have --> charge || rod --- does have charge --> rubbed with piece of fur || rod --- does have charge --> rubbed || rod --- being --> rubbed || plastic rod --- does have charge --> rubbed with piece || plastic rod --- being rubbed with --> piece of fur || plastic rod --- does have charge --> rubbed || plastic rod --- being --> rubbed || plastic rod --- does have --> negative charge || plastic rod --- being rubbed with --> piece || plastic rod --- does have --> charge || plastic rod --- does have charge --> rubbed with piece of fur || fur --- gains protons from --> rod || fur --- gains --> protons ||,The rod gains electrons from the fur.,The rod gains electrons from the fur does a plastic rod have a negative charge after being rubbed with a piece of fur.,plastic rod --- have --> negative charge || plastic rod --- being --> rubbed || plastic rod --- have charge --> rubbed || plastic rod --- being rubbed with --> piece of fur || plastic rod --- have charge --> rubbed with piece || plastic rod --- being rubbed with --> piece || plastic rod --- have --> charge || plastic rod --- have charge --> rubbed with piece of fur || rod --- being rubbed with --> piece of fur || rod --- being rubbed with --> piece || rod --- being --> rubbed || rod --- have charge --> rubbed || rod --- have --> negative charge || rod --- have charge --> rubbed with piece of fur || rod --- have --> charge || rod --- have charge --> rubbed with piece ||,NA,NA,NA
MCAS_2004_9_2,Lasers are used in surgery for,making fine incisions.,Lasers are used in surgery for making fine incisions.,lasers --- making --> incisions || lasers --- are --> used || lasers --- are used in --> surgery || lasers --- making --> fine incisions ||,illuminating operating fields.,Lasers are used in surgery for illuminating operating fields.,lasers --- are --> used || lasers --- are used in --> surgery || lasers --- are used in --> surgery for operating fields || lasers --- are used in --> surgery for illuminating operating fields ||,stitching wounds.,Lasers are used in surgery for stitching wounds.,lasers --- are --> used || lasers --- are used in --> surgery || lasers --- stitching --> wounds ||,disinfecting instruments.,Lasers are used in surgery for disinfecting instruments.,lasers --- are used for --> disinfecting instruments || lasers --- are used for --> instruments || lasers --- are --> used || lasers --- are used in --> surgery || lasers --- are --> used in surgery for instruments || lasers --- are --> used in surgery for disinfecting instruments ||,NA,NA,NA
Mercury_180005,The best description of the troposphere is the layer of the atmosphere with the,most ozone.,The best description of the troposphere is the layer of the atmosphere with the most ozone.,best description --- is layer with --> ozone || best description --- is layer with --> most ozone || best description --- is --> layer of atmosphere with ozone || best description --- is --> layer of atmosphere with most ozone || description --- is --> layer of atmosphere with ozone || description --- is --> layer of atmosphere with most ozone || description --- is layer with --> most ozone || description --- is layer with --> ozone || layer --- is with --> most ozone ||,greatest density.,The best description of the troposphere is the layer of the atmosphere with the greatest density.,layer --- is with --> greatest density || best description --- is --> layer of atmosphere with greatest density || best description --- is --> layer || best description --- is layer with --> density || best description --- is layer of --> atmosphere || best description --- is layer with --> greatest density || best description --- is --> layer of atmosphere with density || description --- is layer of --> atmosphere || description --- is layer with --> greatest density || description --- is --> layer of atmosphere with greatest density || description --- is layer with --> density || description --- is --> layer of atmosphere with density || description --- is --> layer ||,highest altitude.,The best description of the troposphere is the layer of the atmosphere with the highest altitude.,description --- is layer with --> highest altitude || description --- is layer of --> atmosphere || description --- is --> layer of atmosphere with highest altitude || description --- is --> layer || description --- is --> layer of atmosphere with altitude || description --- is layer with --> altitude || best description --- is --> layer of atmosphere with altitude || best description --- is --> layer || best description --- is layer of --> atmosphere || best description --- is layer with --> highest altitude || best description --- is layer with --> altitude || best description --- is --> layer of atmosphere with highest altitude || layer --- is with --> highest altitude ||,coldest temperature.,The best description of the troposphere is the layer of the atmosphere with the coldest temperature.,description --- is layer of --> atmosphere || description --- is layer of --> atmosphere with coldest temperature || description --- is --> layer || description --- is layer of --> atmosphere with temperature || atmosphere --- is with --> coldest temperature || best description --- is --> layer || best description --- is layer of --> atmosphere || best description --- is layer of --> atmosphere with coldest temperature || best description --- is layer of --> atmosphere with temperature ||,NA,NA,NA
Mercury_7071523,Students use tweezers and magnifying glasses to examine a piece of mold on bread. Which should they also use for safety in this investigation?,bright light,Students use tweezers and magnifying glasses to examine a piece of mold on bread. Bright light should they also use for safety in this investigation.,students --- use --> tweezers || students --- magnifying --> glasses || they --- should also use for --> safety || they --- should use for --> safety || they --- should also use in --> investigation || they --- should use in --> investigation ||,dark glasses,Students use tweezers and magnifying glasses to examine a piece of mold on bread. Dark glasses should they also use for safety in this investigation.,students --- use --> tweezers || students --- magnifying --> glasses || glasses --- should also use in --> investigation || glasses --- should use in --> investigation || glasses --- should also use for --> safety || glasses --- should use for --> safety || they --- should also use in --> investigation || they --- should use in --> investigation || they --- should use for --> safety || they --- should also use for --> safety || dark glasses --- should also use for --> safety || dark glasses --- should use for --> safety || dark glasses --- should also use in --> investigation || dark glasses --- should use in --> investigation ||,breathing masks,Students use tweezers and magnifying glasses to examine a piece of mold on bread. Breathing masks should they also use for safety in this investigation.,students --- use --> tweezers || students --- magnifying --> glasses ||,hot plates,Students use tweezers and magnifying glasses to examine a piece of mold on bread. Hot plates should they also use for safety in this investigation.,students --- use --> tweezers || students --- magnifying --> glasses || plates --- should also use in --> investigation || plates --- should use in --> investigation || plates --- should also use for --> safety || plates --- should use for --> safety || hot plates --- should also use in --> investigation || hot plates --- should use in --> investigation || hot plates --- should also use for --> safety || hot plates --- should use for --> safety || they --- should also use in --> investigation || they --- should use in --> investigation || they --- should use for --> safety || they --- should also use for --> safety ||,NA,NA,NA
Mercury_7263375,"When you have too little water in your body, your kidneys excrete antidiuretic hormone (ADH). What happens in response to ADH?",You get thirsty and urinate more.,"When you have too little water in your body, your kidneys excrete antidiuretic hormone (ADH). You get thirsty and urinate more happens in response to ADH.",you --- have water in --> your body || you --- have --> little water || you --- have --> too little water || you --- have --> water || you --- urinate --> happens in response || you --- urinate --> more happens in response || you --- urinate --> more happens || you --- urinate --> happens in response to adh || you --- get --> thirsty || you --- urinate --> happens || you --- urinate --> more happens in response to adh || your kidneys --- excrete --> adh || your kidneys --- excrete --> hormone || your kidneys --- excrete --> antidiuretic hormone || urinate --- happens in --> response || urinate --- more happens in --> response || urinate --- happens in --> response to adh || urinate --- more happens in --> response to adh ||,You get thirsty and urinate less.,"When you have too little water in your body, your kidneys excrete antidiuretic hormone (ADH). You get thirsty and urinate less happens in response to ADH.",you --- have water in --> your body || you --- have --> little water || you --- have --> too little water || you --- have --> water || you --- get --> thirsty || your kidneys --- excrete --> adh || your kidneys --- excrete --> hormone || your kidneys --- excrete --> antidiuretic hormone || urinate --- happens in --> response || urinate --- less happens in --> response || urinate --- happens in --> response to adh || urinate --- less happens in --> response to adh ||,You get hungry and sweat more.,"When you have too little water in your body, your kidneys excrete antidiuretic hormone (ADH). You get hungry and sweat more happens in response to ADH.",you --- have water in --> your body || you --- have --> little water || you --- have --> too little water || you --- have --> water || you --- sweat --> more happens in response || you --- sweat --> happens in response to adh || you --- sweat --> more happens || you --- sweat --> happens in response || you --- sweat --> more happens in response to adh || you --- get --> hungry || you --- sweat --> happens || your kidneys --- excrete --> adh || your kidneys --- excrete --> hormone || your kidneys --- excrete --> antidiuretic hormone || sweat --- happens in --> response to adh || sweat --- more happens in --> response to adh || sweat --- happens in --> response || sweat --- more happens in --> response ||,You get hungry and sweat less.,"When you have too little water in your body, your kidneys excrete antidiuretic hormone (ADH). You get hungry and sweat less happens in response to ADH.",you --- have water in --> your body || you --- have --> little water || you --- have --> too little water || you --- have --> water || you --- get --> sweat less happens in response || you --- get --> hungry less happens in response || you --- get --> hungry happens in response to adh || you --- get --> hungry sweat happens in response || you --- get --> sweat less happens in response to adh || you --- get --> hungry sweat less happens || you --- get --> hungry sweat less happens in response || you --- get --> hungry sweat happens in response to adh || you --- get --> hungry happens in response || you --- get --> hungry less happens in response to adh || you --- get --> hungry less happens || you --- get --> hungry sweat less happens in response to adh || you --- get --> hungry happens || you --- get --> sweat happens in response to adh || you --- get --> sweat less happens || you --- get --> hungry sweat happens || you --- get --> sweat happens in response || you --- get --> sweat happens || your kidneys --- excrete --> adh || your kidneys --- excrete --> hormone || your kidneys --- excrete --> antidiuretic hormone || hungry --- happens in --> response to adh || hungry --- less happens in --> response to adh || hungry --- happens in --> response || hungry --- less happens in --> response || sweat --- happens in --> response || sweat --- less happens in --> response || sweat --- happens in --> response to adh || sweat --- less happens in --> response to adh ||,NA,NA,NA
TIMSS_2011_8_pg102,"Robert put two drops of an indicator into vinegar, and the color turned red. He then added drops of ammonia solution until the color disappeared. What process occurred?",rusting,"Robert put two drops of an indicator into vinegar, and the color turned red. He then added drops of ammonia solution until the color disappeared. Rusting process occurred.",robert --- put --> two drops || robert --- put --> two drops of indicator || color --- turned --> red || he --- added drops --> color disappeared || he --- added --> color disappeared || he --- added --> drops of ammonia solution || he --- added --> drops ||,melting,"Robert put two drops of an indicator into vinegar, and the color turned red. He then added drops of ammonia solution until the color disappeared. Melting process occurred.",robert --- put --> two drops || robert --- put --> two drops of indicator || color --- turned --> red || he --- added drops --> color disappeared || he --- added --> color disappeared || he --- added --> drops of ammonia solution || he --- added --> drops ||,evaporation,"Robert put two drops of an indicator into vinegar, and the color turned red. He then added drops of ammonia solution until the color disappeared. Evaporation process occurred.",robert --- put --> two drops || robert --- put --> two drops of indicator || color --- turned --> red || he --- added drops --> color disappeared || he --- added --> color disappeared || he --- added --> drops of ammonia solution || he --- added --> drops ||,neutralization,"Robert put two drops of an indicator into vinegar, and the color turned red. He then added drops of ammonia solution until the color disappeared. Neutralization process occurred.",robert --- put --> two drops || robert --- put --> two drops of indicator || color --- turned --> red || he --- added drops --> color disappeared || he --- added --> color disappeared || he --- added --> drops of ammonia solution || he --- added --> drops ||,NA,NA,NA
Mercury_406550,Tapeworms live in the intestines of dogs and absorb nutrients from food the dog eats. Which best describes the outcome of this relationship?,The dog and tapeworm both become ill.,Tapeworms live in the intestines of dogs and absorb nutrients from food the dog eats. The dog and tapeworm both become ill best describes the outcome of this relationship.,tapeworms --- live in --> intestines || tapeworms --- live in --> intestines of dogs || tapeworms --- absorb --> nutrients ||,"The dog becomes ill, and the tapeworm benefits.","Tapeworms live in the intestines of dogs and absorb nutrients from food the dog eats. The dog becomes ill, and the tapeworm benefits best describes the outcome of this relationship.",tapeworms --- live in --> intestines || tapeworms --- live in --> intestines of dogs || tapeworms --- absorb --> nutrients || tapeworm benefits --- best describes --> outcome || tapeworm benefits --- describes --> outcome || tapeworm benefits --- outcome of --> relationship || tapeworm benefits --- best describes --> outcome of relationship || tapeworm benefits --- describes --> outcome of relationship ||,The tapeworm and dog help each other survive.,Tapeworms live in the intestines of dogs and absorb nutrients from food the dog eats. The tapeworm and dog help each other survive best describes the outcome of this relationship.,tapeworms --- live in --> intestines || tapeworms --- live in --> intestines of dogs || tapeworms --- absorb --> nutrients ||,The tapeworm helps the dog survive.,Tapeworms live in the intestines of dogs and absorb nutrients from food the dog eats. The tapeworm helps the dog survive best describes the outcome of this relationship.,tapeworms --- live in --> intestines || tapeworms --- live in --> intestines of dogs || tapeworms --- absorb --> nutrients ||,NA,NA,NA
Mercury_SC_400057,"In some U.S. national parks, black bears have lost their fear of humans and look for food near campsites along the roadside. This is an example of an animal",becoming an herbivore.,"In some U.S. national parks, black bears have lost their fear of humans and look for food near campsites along the roadside. This is an example of an animal becoming an herbivore.",black bears --- look along --> roadside || black bears --- look for --> food near campsites || black bears --- have lost --> their fear || black bears --- look for --> food || black bears --- have lost --> their fear of humans || bears --- look for --> food near campsites || bears --- look along --> roadside || bears --- have lost --> their fear || bears --- have lost --> their fear of humans || bears --- look for --> food ||,using its inherited traits.,"In some U.S. national parks, black bears have lost their fear of humans and look for food near campsites along the roadside. This is an example of an animal using its inherited traits.",black bears --- look along --> roadside || black bears --- look for --> food near campsites || black bears --- have lost --> their fear || black bears --- look for --> food || black bears --- have lost --> their fear of humans || bears --- look for --> food near campsites || bears --- look along --> roadside || bears --- have lost --> their fear || bears --- have lost --> their fear of humans || bears --- look for --> food ||,finding a new ecosystem.,"In some U.S. national parks, black bears have lost their fear of humans and look for food near campsites along the roadside. This is an example of an animal finding a new ecosystem.",black bears --- look along --> roadside || black bears --- look for --> food near campsites || black bears --- have lost --> their fear || black bears --- look for --> food || black bears --- have lost --> their fear of humans || bears --- look for --> food near campsites || bears --- look along --> roadside || bears --- have lost --> their fear || bears --- have lost --> their fear of humans || bears --- look for --> food ||,learning a new behavior.,"In some U.S. national parks, black bears have lost their fear of humans and look for food near campsites along the roadside. This is an example of an animal learning a new behavior.",black bears --- look along --> roadside || black bears --- look for --> food near campsites || black bears --- have lost --> their fear || black bears --- look for --> food || black bears --- have lost --> their fear of humans || bears --- look for --> food near campsites || bears --- look along --> roadside || bears --- have lost --> their fear || bears --- have lost --> their fear of humans || bears --- look for --> food ||,NA,NA,NA
