01-03-2016,"Greater Kashmir/English Daily: “Police, security agencies mull strategy to secure Kashmir highways” ",Jammu and Kashmir Police in consultation with other security agencies decided to streamline the securing process of Kashmir’s highways in view of recent deadly encounter at Pampore on Srinagar- Jammu highway.
01-03-2016,"Greater Kashmir/English Daily: “Police, security agencies mull strategy to secure Kashmir highways” ","Talking to local English Daily ‘Greater Kashmir’ Inspector General of Police, Kashmir Range, Syed Javid Mujtaba Geelani said,  “There is always room to improve."
01-03-2016,"Greater Kashmir/English Daily: “Police, security agencies mull strategy to secure Kashmir highways” ","After EDI attack at Pampore (district Pulwama), we have devised a strategy to ensure Road Opening Parties (RoPs) are streamlined in a well-coordinated way."
01-03-2016,"Greater Kashmir/English Daily: “Police, security agencies mull strategy to secure Kashmir highways” ",This will help secure highways in Kashmir.”   The IGP said that Police doesn’t want to reveal the exact measures taken to protect highways from any further militant attack as the move might trigger panic among people.
01-03-2016,"Greater Kashmir/English Daily: “Police, security agencies mull strategy to secure Kashmir highways” ","“All the necessary steps have been taken to keep militants at bay,” the Kashmir Police Chief said."
01-03-2016,"Greater Kashmir/English Daily : “2 Palhallan youth re-arrested after Court orders release, say families” ",The family members of two youth hailing from Palhallan area of Baramulla district expressed The family members of two youth hailing from Palhallan area of Baramulla district anguish over the re-arrest of their wards after the High Court quashed their detentions recently.
01-03-2016,"Greater Kashmir/English Daily : “2 Palhallan youth re-arrested after Court orders release, say families” ",Peer Basit Ahmed and Adil Ahmad Gojri were arrested by the Pattan Police under the PSA on charges of stone-pelting.
01-03-2016,"Greater Kashmir/English Daily : “2 Palhallan youth re-arrested after Court orders release, say families” ","According to the family members of Peer Basit Ahmed, soon after the family members of Peer Basit Ahmed detention was quashed by the High Court on February 24 vide release order no 5745, the Pattan Police arrested the family members of Peer Basit Ahmed just outside the Police Station."
01-03-2016,"Greater Kashmir/English Daily : “2 Palhallan youth re-arrested after Court orders release, say families” ","Another youth Adil Ahmed Gojri, who was arrested under PSA and lodged in Udhampur Jail, was again arrested outside Udhampur Jail, the family members of Peer Basit Ahmed said."
01-03-2016,"Greater Kashmir/English Daily : “PMNRF: 18 months on, JK’s flood victims await financial assistance”   ",The National Disaster Management Authority – the agency tasked by Government of India with crediting the Prime Minister’s National Relief Fund (PMNRF) directly into the bank accounts of J&K’s flood victims - was yet to disburse RS 100 crore among the affected families.
